Test Case ID,CaseCounter,TimeDifference,TotalMemory,FreeMemory
Immutable 10000 insert,164,224200,8474939392,1431277568
Immutable 10000 insert,165,225300,8474939392,1431277568
Immutable 10000 insert,166,226300,8474939392,1431277568
Immutable 10000 insert,167,227200,8474939392,1431277568
Immutable 10000 insert,168,228100,8474939392,1431277568
Immutable 10000 insert,169,229100,8474939392,1431277568
Immutable 10000 insert,170,230000,8474939392,1431277568
Immutable 10000 insert,171,230900,8474939392,1431277568
Immutable 10000 insert,172,231900,8474939392,1431277568
Immutable 10000 insert,173,232800,8474939392,1431277568
Immutable 10000 insert,174,233800,8474939392,1431277568
Immutable 10000 insert,175,234700,8474939392,1431277568
Immutable 10000 insert,176,235600,8474939392,1431277568
Immutable 10000 insert,177,236700,8474939392,1431277568
Immutable 10000 insert,178,237700,8474939392,1431277568
Immutable 10000 insert,179,238600,8474939392,1431277568
Immutable 10000 insert,180,239500,8474939392,1431277568
Immutable 10000 insert,181,240500,8474939392,1431277568
Immutable 10000 insert,182,241400,8474939392,1431277568
Immutable 10000 insert,183,242400,8474939392,1431277568
Immutable 10000 insert,184,243300,8474939392,1431277568
Immutable 10000 insert,185,244200,8474939392,1431277568
Immutable 10000 insert,186,245200,8474939392,1431277568
Immutable 10000 insert,187,246100,8474939392,1431277568
Immutable 10000 insert,188,247000,8474939392,1431277568
Immutable 10000 insert,189,248000,8474939392,1431277568
Immutable 10000 insert,190,249100,8474939392,1431277568
Immutable 10000 insert,191,250000,8474939392,1431277568
Immutable 10000 insert,192,251000,8474939392,1431277568
Immutable 10000 insert,193,251900,8474939392,1431277568
Immutable 10000 insert,194,252800,8474939392,1431277568
Immutable 10000 insert,195,253800,8474939392,1431277568
Immutable 10000 insert,196,254700,8474939392,1431277568
Immutable 10000 insert,197,255600,8474939392,1431277568
Immutable 10000 insert,198,256600,8474939392,1431277568
Immutable 10000 insert,199,257500,8474939392,1431277568
Immutable 10000 insert,200,258400,8474939392,1431277568
Immutable 10000 insert,201,259400,8474939392,1431277568
Immutable 10000 insert,202,260300,8474939392,1431277568
Immutable 10000 insert,203,262200,8474939392,1431277568
Immutable 10000 insert,204,263200,8474939392,1431277568
Immutable 10000 insert,205,264100,8474939392,1431277568
Immutable 10000 insert,206,265100,8474939392,1431277568
Immutable 10000 insert,207,266000,8474939392,1431277568
Immutable 10000 insert,208,267000,8474939392,1431277568
Immutable 10000 insert,209,267900,8474939392,1431277568
Immutable 10000 insert,210,268800,8474939392,1431277568
Immutable 10000 insert,211,269800,8474939392,1431277568
Immutable 10000 insert,212,270700,8474939392,1431277568
Immutable 10000 insert,213,271700,8474939392,1431277568
Immutable 10000 insert,214,272600,8474939392,1431277568
Immutable 10000 insert,215,273600,8474939392,1431277568
Immutable 10000 insert,216,274700,8474939392,1431277568
Immutable 10000 insert,217,275600,8474939392,1431277568
Immutable 10000 insert,218,276500,8474939392,1431277568
Immutable 10000 insert,219,277500,8474939392,1431277568
Immutable 10000 insert,220,278400,8474939392,1431277568
