Test Case ID,CaseCounter,TimeDifference,TotalMemory,FreeMemory
SList 10000 insert,188,186800,8474939392,1644847104,
SList 10000 insert,189,188000,8474939392,1644847104,
SList 10000 insert,190,188900,8474939392,1644847104,
SList 10000 insert,191,189900,8474939392,1644855296,
SList 10000 insert,192,190800,8474939392,1644875776,
SList 10000 insert,193,191800,8474939392,1644875776,
SList 10000 insert,194,192700,8474939392,1644875776,
SList 10000 insert,195,193700,8474939392,1644875776,
SList 10000 insert,196,194600,8474939392,1644875776,
SList 10000 insert,197,195600,8474939392,1644875776,
SList 10000 insert,198,196500,8474939392,1644875776,
SList 10000 insert,199,197500,8474939392,1644875776,
SList 10000 insert,200,198400,8474939392,1644875776,
SList 10000 insert,201,199400,8474939392,1644875776,
SList 10000 insert,202,200500,8474939392,1644875776,
SList 10000 insert,203,201500,8474939392,1644875776,
SList 10000 insert,204,202500,8474939392,1644875776,
SList 10000 insert,205,203400,8474939392,1644875776,
SList 10000 insert,206,204400,8474939392,1644875776,
SList 10000 insert,207,205300,8474939392,1644875776,
SList 10000 insert,208,206300,8474939392,1644875776,
SList 10000 insert,209,207200,8474939392,1644875776,
SList 10000 insert,210,208200,8474939392,1644875776,
SList 10000 insert,211,209100,8474939392,1644875776,
SList 10000 insert,212,210100,8474939392,1644875776,
SList 10000 insert,213,211000,8474939392,1644875776,
SList 10000 insert,214,212100,8474939392,1644875776,
SList 10000 insert,215,213100,8474939392,1644875776,
SList 10000 insert,216,214000,8474939392,1644875776,
SList 10000 insert,217,215000,8474939392,1644875776,
SList 10000 insert,218,216000,8474939392,1644875776,
SList 10000 insert,219,216900,8474939392,1644875776,
SList 10000 insert,220,217900,8474939392,1644875776,
SList 10000 insert,221,218800,8474939392,1644875776,
SList 10000 insert,222,219800,8474939392,1644875776,
SList 10000 insert,223,220700,8474939392,1644875776,
SList 10000 insert,224,221700,8474939392,1644875776,
SList 10000 insert,225,222700,8474939392,1644875776,
SList 10000 insert,226,223600,8474939392,1644875776,
SList 10000 insert,227,225100,8474939392,1644875776,
SList 10000 insert,228,226100,8474939392,1644875776,
SList 10000 insert,229,227100,8474939392,1644875776,
SList 10000 insert,230,228000,8474939392,1644875776,
SList 10000 insert,231,229000,8474939392,1644875776,
SList 10000 insert,232,229900,8474939392,1644875776,
SList 10000 insert,233,230900,8474939392,1644875776,
SList 10000 insert,234,231900,8474939392,1644904448,
SList 10000 insert,235,232800,8474939392,1644888064,
SList 10000 insert,236,233800,8474939392,1644875776,
SList 10000 insert,237,234800,8474939392,1644859392,
SList 10000 insert,238,235700,8474939392,1644847104,
SList 10000 insert,239,236700,8474939392,1644847104,
SList 10000 insert,240,237800,8474939392,1644847104,
SList 10000 insert,241,238800,8474939392,1644847104,
SList 10000 insert,242,239700,8474939392,1644847104,
SList 10000 insert,243,240700,8474939392,1644847104,
SList 10000 insert,244,241600,8474939392,1644847104,
SList 10000 insert,245,242600,8474939392,1644847104,
SList 10000 insert,246,243600,8474939392,1644847104,
SList 10000 insert,247,244500,8474939392,1644847104,
SList 10000 insert,248,245500,8474939392,1644847104,
SList 10000 insert,249,246400,8474939392,1644847104,
SList 10000 insert,250,247400,8474939392,1644847104,
SList 10000 insert,251,248300,8474939392,1644847104,
SList 10000 insert,252,249300,8474939392,1644847104,
SList 10000 insert,253,250400,8474939392,1644847104,
SList 10000 insert,254,251300,8474939392,1644847104,
SList 10000 insert,255,252300,8474939392,1644847104,
SList 10000 insert,256,253200,8474939392,1644847104,
SList 10000 insert,257,254200,8474939392,1644847104,
SList 10000 insert,258,255100,8474939392,1644847104,
SList 10000 insert,259,256100,8474939392,1644847104,
SList 10000 insert,260,257100,8474939392,1644847104,
SList 10000 insert,261,258000,8474939392,1644847104,
SList 10000 insert,262,259000,8474939392,1644847104,
SList 10000 insert,263,259900,8474939392,1644847104,
SList 10000 insert,264,260900,8474939392,1644847104,
SList 10000 insert,265,262000,8474939392,1644847104,
SList 10000 insert,266,262900,8474939392,1644847104,
SList 10000 insert,267,265300,8474939392,1644847104,
SList 10000 insert,268,266300,8474939392,1644847104,
SList 10000 insert,269,267200,8474939392,1644847104,
SList 10000 insert,270,268200,8474939392,1644847104,
SList 10000 insert,271,269200,8474939392,1644875776,
SList 10000 insert,272,270100,8474939392,1644875776,
SList 10000 insert,273,271100,8474939392,1644875776,
SList 10000 insert,274,272100,8474939392,1644875776,
SList 10000 insert,275,273000,8474939392,1644875776,
SList 10000 insert,276,274000,8474939392,1644875776,
SList 10000 insert,277,274900,8474939392,1644875776,
SList 10000 insert,278,276000,8474939392,1644875776,
SList 10000 insert,279,277000,8474939392,1644875776,
SList 10000 insert,280,277900,8474939392,1644875776,
SList 10000 insert,281,278900,8474939392,1644875776,
SList 10000 insert,282,279800,8474939392,1644875776,
SList 10000 insert,283,280800,8474939392,1644875776,
SList 10000 insert,284,281700,8474939392,1644875776,
SList 10000 insert,285,283100,8474939392,1644875776,
SList 10000 insert,286,284000,8474939392,1644875776,
SList 10000 insert,287,285000,8474939392,1644875776,
SList 10000 insert,288,285900,8474939392,1644875776,
SList 10000 insert,289,286900,8474939392,1644875776,
SList 10000 insert,290,287800,8474939392,1644875776,
SList 10000 insert,291,291500,8474939392,1644875776,
SList 10000 insert,292,292400,8474939392,1644875776,
SList 10000 insert,293,293200,8474939392,1644875776,
SList 10000 insert,294,294100,8474939392,1644875776,
SList 10000 insert,295,295000,8474939392,1644875776,
SList 10000 insert,296,295900,8474939392,1644875776,
SList 10000 insert,297,296700,8474939392,1644875776,
SList 10000 insert,298,297600,8474939392,1644875776,
SList 10000 insert,299,298500,8474939392,1644875776,
SList 10000 insert,300,299300,8474939392,1644875776,
SList 10000 insert,301,300200,8474939392,1644875776,
SList 10000 insert,302,301100,8474939392,1644875776,
